eeschema (2013-05-31 BZR 4019)-stable  >> Creation date: 7/23/2013 3:09:43 PM
#Cmp ( order = Reference )
| GREEN        D2        ; Kingbright Company LLC; APT1608SGC  ; DigiKey     ; $0.16/1, $0.117/10, $0.0936/25;             ;             ;             ;             
| WP           P1        ;             ;             ;             ;             ;             ;             ;             ;             
| CONN_12      P2        ; Sullins Connector Solutions; PPPC121LGBN-RC; DigiKey     ; $1.01/1, $0.84/10, $0.7776/25;             ;             ;             ;             
| CONN_5X2     P3        ; FCI         ; 68602-110HLF; DigiKey     ; $0.33/1, $0.308/10, $0.2644/25;             ;             ;             ;             
| BTRST        P4        ;             ;             ;             ;             ;             ;             ;             ;             
| GND          P5        ;             ;             ;             ;             ;             ;             ;             ;             
| 5VD          P6        ;             ;             ;             ;             ;             ;             ;             ;             
| 3V3          P7        ;             ;             ;             ;             ;             ;             ;             ;             
| 5VA          P8        ;             ;             ;             ;             ;             ;             ;             ;             
| 330          R22       ; Stackpole Electronics; RMCF0603JT330R; DigiKey     ; $0.02/1, $0.017/10, $0.0092/50;             ;             ;             ;             
| 330          R23       ; Stackpole Electronics; RMCF0603JT330R; DigiKey     ; $0.02/1, $0.017/10, $0.0092/50;             ;             ;             ;             
| 4.7K         R1        ; Stackpole Electronics; RMCF0603JT4K70; DigiKey     ; $0.02/1, $0.017/10, $0.0092/50;             ;             ;             ;             
| 4.7K         R2        ; Stackpole Electronics; RMCF0603JT4K70; DigiKey     ; $0.02/1, $0.017/10, $0.0092/50;             ;             ;             ;             
| 4.7K         R3        ; Stackpole Electronics; RMCF0603JT4K70; DigiKey     ; $0.02/1, $0.017/10, $0.0092/50;             ;             ;             ;             
| 4.99K        R11       ; Stackpole Electronics; RNCS0603BKE4K99; DigiKey     ; $0.70/1, $0.475/10, $0.2876/50;             ;             ;             ;             
| 4.99K        R12       ; Stackpole Electronics; RNCS0603BKE4K99; DigiKey     ; $0.70/1, $0.475/10, $0.2876/50;             ;             ;             ;             
| 4.99K        R13       ; Stackpole Electronics; RNCS0603BKE4K99; DigiKey     ; $0.70/1, $0.475/10, $0.2876/50;             ;             ;             ;             
| 4.99K        R14       ; Stackpole Electronics; RNCS0603BKE4K99; DigiKey     ; $0.70/1, $0.475/10, $0.2876/50;             ;             ;             ;             
| 4.99K        R15       ; Stackpole Electronics; RNCS0603BKE4K99; DigiKey     ; $0.70/1, $0.475/10, $0.2876/50;             ;             ;             ;             
| 4.99K        R16       ; Stackpole Electronics; RNCS0603BKE4K99; DigiKey     ; $0.70/1, $0.475/10, $0.2876/50;             ;             ;             ;             
| 4.99K        R17       ; Stackpole Electronics; RNCS0603BKE4K99; DigiKey     ; $0.70/1, $0.475/10, $0.2876/50;             ;             ;             ;             
| 4.99K        R18       ; Stackpole Electronics; RNCS0603BKE4K99; DigiKey     ; $0.70/1, $0.475/10, $0.2876/50;             ;             ;             ;             
| 4.99K        R19       ; Stackpole Electronics; RNCS0603BKE4K99; DigiKey     ; $0.70/1, $0.475/10, $0.2876/50;             ;             ;             ;             
| 4.99K        R20       ; Stackpole Electronics; RNCS0603BKE4K99; DigiKey     ; $0.70/1, $0.475/10, $0.2876/50;             ;             ;             ;             
| 4.99K        R21       ; Stackpole Electronics; RNCS0603BKE4K99; DigiKey     ; $0.70/1, $0.475/10, $0.2876/50;             ;             ;             ;             
| 5.6K         R5        ; Stackpole Electronics; RMCF0603JT5K60; DigiKey     ; $0.02/1, $0.017/10, $0.0092/50;             ;             ;             ;             
| 5.6K         R6        ; Stackpole Electronics; RMCF0603JT5K60; DigiKey     ; $0.02/1, $0.017/10, $0.0092/50;             ;             ;             ;             
| 10K          R4        ; Stackpole Electronics; RMCF0603JT10K0; DigiKey     ; $0.02/1, $0.017/10, $0.0092/50;             ;             ;             ;             
| 10K          R7        ; Stackpole Electronics; RMCF0603JT10K0; DigiKey     ; $0.02/1, $0.017/10, $0.0092/50;             ;             ;             ;             
| 10K          R8        ; Stackpole Electronics; RMCF0603JT10K0; DigiKey     ; $0.02/1, $0.017/10, $0.0092/50;             ;             ;             ;             
| 10K          R10       ; Stackpole Electronics; RMCF0603JT10K0; DigiKey     ; $0.02/1, $0.017/10, $0.0092/50;             ;             ;             ;             
| 10K          R24       ; Stackpole Electronics; RMCF0603JT10K0; DigiKey     ; $0.02/1, $0.017/10, $0.0092/50;             ;             ;             ;             
| 499K,0.1%    R9        ; Stackpole Electronics; RNCS0805BKE499K; DigiKey     ; $0.77/1, $0.523/10, $0.3162/50;             ;             ;             ;             
| SMT_BUTTON   S2        ; C&K Components; KMR231GLFS  ; DigiKey     ; $0.64/1, $0.604/10, $0.5436/25;             ;             ;             ;             
| SOLDERJUMPERNO SJ3       ;             ;             ;             ;             ;             ;             ;             ;             
| SOLDERJUMPERNC2 SJ4       ;             ;             ;             ;             ;             ;             ;             ;             
| SOLDERJUMPERNC2 SJ5       ;             ;             ;             ;             ;             ;             ;             ;             
| SOLDERJUMPER_2WAYPASTE2&3 SJ1       ;             ;             ;             ;             ;             ;             ;             ;             
| SOLDERJUMPER_2WAYPASTE2&3 SJ2       ;             ;             ;             ;             ;             ;             ;             ;             
| 24C256       U1        ; Fremont Micro Devices USA; FT24C256A-UMR-B; DigiKey     ; $0.92/1, $0.805/10, $0.7132/25;             ;             ;             ;             
| BEAGLEBONE_BLACK U2        ;             ;             ;             ;             ;             ;             ;             ;             
| TPD4E001     U5        ; Texas Instruments; TPD4E001DBVR; Mouser      ; $0.48/1, $0.36/10;             ;             ;             ;             
| TPD4E001     U6        ; Texas Instruments; TPD4E001DBVR; Mouser      ; $0.48/1, $0.36/10;             ;             ;             ;             
| TPD4E001     U7        ; Texas Instruments; TPD4E001DBVR; Mouser      ; $0.48/1, $0.36/10;             ;             ;             ;             
| ATUC3L064    U8        ; Atmel       ; AT32UC3L064-AUT; DigiKey     ; $7.80/1, $4.898/25;             ;             ;             ;             
| BLUETOOTH-RN42 U9        ; Microchip Technology; RN42-I/RM   ; DigiKey     ; $19.14/1, $15.95/10;             ;             ;             ;             
| OPA2376      U3        ; Texas Instruments; OPA2376AIDGKR; DigiKey     ; $2.73/1, $2.462/10, $2.206/25;             ;             ;             ;             
| ADS1299      U4        ; Low-Noise, 8-Channel, 24-Bit Analog Front-End for Biopotential Measurements; Texas Instruments; ADS1299IPAG ; DigiKey     ; $58.14/1    ;             ;             ;             
| TPS73150     U10       ; Texas Instruments; TPS73150DBVT; DigiKey     ; $1.23/1, $1.091/10, $0.9848/25;             ;             ;             ;             
#End Cmp

#End List
